Country,Confirmed cases (absolute),Cases in last 7 days,Confirmed deaths (absolute),Deaths in last 7 days,Daily increase (# deaths),Population (in millions),Deaths per million (total),Deaths per million (last 7 days),DeathsPop(%)
El Salvador,"161,570",518,"4,121",2,0,6.45,638.56,0.31,0.00063856
Kuwait,"629,525",547,"2,554",0,0,4.21,607.07,0,0.00060707
Finland,"913,476","29,800","3,307",163,53,5.52,599.06,29.53,0.00059906
Indonesia,"6,026,324","13,506","155,464",375,43,270.63,574.46,1.39,0.00057446
Philippines,"3,680,244","1,999","59,422",173,52,108.12,549.61,1.6,0.00054961
Norway,"1,412,969","7,009","2,667",149,149,5.35,498.7,27.86,0.0004987
Kyrgyzstan,"200,968",33,"2,991",3,0,6.46,463.23,0.46,0.00046323
Vietnam,"9,980,464","415,855","42,712",219,31,96.46,442.79,2.27,0.00044279
Morocco,"1,163,726",452,"16,061",1,0,36.47,440.37,0.03,0.00044037
Nepal,"978,538",112,"11,951",69,0,28.61,417.74,2.41,0.00041774
Dominican Republic,"578,319",299,"4,375",0,0,10.74,407.4,0,0.0004074
India,"43,031,958","6,183","521,530",349,43,"1,366.42",381.68,0.26,0.00038168
Zimbabwe,"246,803",517,"5,453",9,2,14.65,372.33,0.61,0.00037233
Thailand,"3,807,908","151,182","25,788",566,185,69.63,370.38,8.13,0.00037038
South Korea,"14,778,405","1,402,587","18,381","1,791",348,51.71,355.47,34.64,0.00035547
Lesotho,"32,910",0,697,0,0,2.13,327.96,0,0.00032796
Saudi Arabia,"751,404",590,"9,053",8,3,34.27,264.18,0.23,0.00026418
Australia,"4,910,819","337,753","6,495",487,33,25.36,256.07,19.2,0.00025607
Egypt,"509,177","3,913","24,473",56,0,100.39,243.78,0.56,0.00024378
Qatar,"362,273",858,677,0,0,2.83,239.05,0,0.00023905
United Arab Emirates,"892,929","1,629","2,302",0,0,9.77,235.61,0,0.00023561
Singapore,"1,123,886","27,458","1,287",19,3,5.7,225.65,3.33,0.00022565
Japan,"6,830,997","275,412","28,462",342,66,126.26,225.41,2.71,0.00022541
Zambia,"317,358",508,"3,967",1,0,17.86,222.1,0.06,0.0002221
Venezuela,"521,105",732,"5,689",7,1,28.52,199.5,0.25,0.0001995
Cambodia,"135,834",209,"3,055",1,0,16.49,185.3,0.06,0.0001853
Syria,"55,727",32,"3,145",4,0,17.07,184.24,0.23,0.00018424
Bangladesh,"1,951,903",326,"29,123",1,0,163.05,178.62,0.01,0.00017862
Algeria,"265,705",34,"6,874",0,0,43.05,159.66,0,0.00015966
Pakistan,"1,526,093","1,120","30,361",2,0,216.57,140.19,0.01,0.00014019
Senegal,"85,931",36,"1,965",1,0,16.3,120.58,0.06,0.00012058
Sudan,"61,987",32,"4,907",0,0,42.81,114.61,0,0.00011461
Kenya,"323,515",92,"5,648",0,0,52.57,107.43,0,0.00010743
Laos,"188,985","12,087",684,19,2,7.17,95.4,2.65,0.0000954
New Zealand,"741,987","69,275",426,112,22,4.92,86.64,22.78,0.00008664
Uganda,"163,954",49,"3,596",0,0,44.27,81.23,0,0.00008123
Cameroon,"119,544",0,"1,927",0,0,25.88,74.47,0,0.00007447
Haiti,"30,575",28,833,0,0,11.26,73.96,0,0.00007396
Yemen,"11,812",6,"2,144",1,0,29.16,73.52,0.03,0.00007352
Mozambique,"225,272",16,"2,200",0,0,30.37,72.45,0,0.00007245
Ethiopia,"469,916",158,"7,508",11,0,112.08,66.99,0.1,0.00006699
Angola,"99,194",25,"1,900",0,0,31.83,59.7,0,0.0000597
Uzbekistan,"237,932",183,"1,637",0,0,33.58,48.75,0,0.00004875
Ghana,"161,034",63,"1,445",0,0,30.42,47.5,0,0.0000475
Nicaragua,"18,491",57,231,1,1,6.55,35.29,0.15,0.00003529
Cote d'Ivoire,"81,780",39,796,0,0,25.72,30.95,0,0.00003095
Nigeria,"255,516",101,"3,142",0,0,200.96,15.63,0,0.00001563
Congo (Kinshasa),"86,748",0,"1,337",0,0,86.79,15.4,0,0.0000154
Tanzania,"33,815",0,800,0,0,58.01,13.79,0,0.00001379
Tajikistan,"17,786",0,125,0,0,9.32,13.41,0,0.00001341
China,"1,495,380","109,885","13,098",635,111,"1,397.72",9.37,0.45,0.00000937
